"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
rx,diagnosis_treatment_and_referral,,checkbox,"Other prescriptions provided:","1, Iron | 2, Vitamin A | 3, RTUF | 4, Immunization | 5, MMS | 6, Deworming | 7, Antipyretic | 8, Antihistamine | 9, Topical ointment/cream | 10, Anti-inflammatory (to include steroids and NSAIDs) | 11, Antimalarial | 12, Dehydration treatment (ORS/Zinc) | 13, Vitamin D | 14, Eye/ear drops/ointment | 15, Bronchodilator | 16, Other",,,,,,[rx_yn]=1,y,LV,,,,
rx_other,diagnosis_treatment_and_referral,,text,"Other, specify:",,,,,,,[rx(16)]=1,,LV,,,,
refferal,diagnosis_treatment_and_referral,,radio,"Referral advice recorded in clinical notes and/or facility registers","1, Urgent referral | 2, Non-urgent referral | 3, Admitted within the in-patient department of the facility | 4, Recorded, not readable | 5, Recorded as not referred | 99, Unknown/uncertain/not recorded",,,,,,,y,LV,,,,
exclude_data_rsn,diagnosis_treatment_and_referral,,radio,"Exclude data due to:","1, Participant requested withdrawal | 2, Duplicate record | 3, Insufficient data | 4, Other",,,,,,,,LV,,,,
cg_interview_yn,caregiver_interview,,yesno,"Will you complete an interview with the caregiver?",,,,,,,,y,LV,,,,
cg_sex,caregiver_interview,,radio,"Sex of the caregiver","0, Male | 1, Female",,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_overall_comfort,caregiver_interview,"Test Experience",radio,"Overall, how comfortable are you with the provider using this device on your child?","1, 1 - Not at all comfortable | 2, 2 - Somewhat uncomfortable | 3, 3 - Neither uncomfortable or comfortable | 4, 4 - Somewhat comfortable | 5, 5 - Very comfortable",,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_like_most,caregiver_interview,,notes,"What do you like most about the device?",,,,,,,[cg_interview_yn]=1,y,LH,,,,
cg_like_least,caregiver_interview,,notes,"What do you like least about the device?",,,,,,,[cg_interview_yn]=1,y,LH,,,,
cg_prov_challenges_yn,caregiver_interview,,yesno,"Did you notice any challenges the provider had while use the device?",,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_prov_challenges,caregiver_interview,,text,"What were the challenges you noticed?",,,,,,,"[cg_interview_yn]=1 and [cg_prov_challenges_yn]=1",y,LV,,,,
cg_overall_satisfied,caregiver_interview,,radio,"Overall, how satisfied are you with the use of the device on your sick child?","1, 1 - Not at all satisfied | 2, 2 - Somewhat unsatisfied | 3, 3 - Neither unsatisfied or satisfied | 4, 4 - Somewhat satisfied | 5, 5 - Very satisfied",,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_confident_use,caregiver_interview,"Attitudes Toward the Device",radio,"Based on what you know about the device, how confident are you that the provider knew how to use the device correctly?","1, Not at all confident | 2, Somewhat confident | 3, Confident | 4, Very confident",,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_confident_performance,caregiver_interview,,radio,"Based on what you know about the device, how confident are you in the results of the device for assessing your child?","1, Not at all confident | 2, Somewhat confident | 3, Confident | 4, Very confident",,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_adequate_assess_yn,caregiver_interview,,yesno,"Do you feel that your child was adequately assessed by the device?",,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_adequate_assess_rsn,caregiver_interview,,text,"Please explain:",,,,,,,"[cg_interview_yn]=1 and [cg_adequate_assess_yn]=0",y,LV,,,,
cg_advantage,caregiver_interview,,notes,"What do you think is the biggest advantage of the device?",,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_concerns,caregiver_interview,,notes,"What concerns do you have about the provider using the device on your child?",,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_compare_assess,caregiver_interview,,radio,"How would you compare this product to previous ways of assessing your child?","2, Better | 1, Same | 0, Worse | 99, Cannot compare",,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_compare_assess_rsn,caregiver_interview,,text,Why?,,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_useful,caregiver_interview,,radio,"On a scale from 1 to 5 with 1 being ""not useful at all"" and 5 as ""extremely useful"", please tell me how useful you think the device is at this facility: ","1, 1 - Not at all useful | 2, 2 - Somewhat not useful | 3, 3 - Neither un-useful or useful | 4, 4 - Somewhat useful | 5, 5 - Very useful",,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_useful_rsn,caregiver_interview,,text,"Please explain your reasons for rating the device's usefulness a [cg_useful]:",,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_rec_device,caregiver_interview,,radio,"On a scale from 1 to 5, with 1 being ""Very unlikely"" and 5 being ""Very likely"", how likely would you be to recommend routine use of the device at this facility in the future?","1, 1 - Very unlikely | 2, 2 - Somewhat unlikely | 3, 3 - Neither unlikely or likely | 4, 4 - Somewhat likely | 5, 5 - Very likely",,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_rec_device_rsn,caregiver_interview,,text,"Please explain your reasons for rating your likelihood of recommending routine use of the device a [cg_rec_device]:",,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_rec_facility,caregiver_interview,,radio,"On a scale from 1 to 5, with 1 being ""Very unlikely"" and 5 being ""Very likely"", how likely would you be to recommend this facility to a family or community member because of the use of this device at this facility?","1, 1-  Very unlikely | 2, 2 - Somewhat unlikely | 3, 3 - Neither unlikely or likely | 4, 4 - Somewhat likely | 5, 5 - Very likely",,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_rec_facility_rsn,caregiver_interview,,text,"Please explain your reasons for rating your likelihood of recommending the facility a [cg_rec_facility]:",,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_overall_impression,caregiver_interview,"Open-ended questions to explore acceptability",notes,"What were your overall impressions of the provider's use of the device to assess your sick child?",,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_time_change_yn,caregiver_interview,,yesno,"Did you observe a change in the time it took for the clinical consultation of your child with the use of this device compared to previous visits?",,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_time_change,caregiver_interview,,text,"Please explain the change:",,,,,,,"[cg_interview_yn]=1 and [cg_time_change_yn]=1",,LV,,,,
cg_understand_purpose,caregiver_interview,,notes,"To what degree did you understand what the device was measuring? What do you remember the provider explaining during the assessment regarding the device and its purpose?",,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_dx_confidence,caregiver_interview,,notes,"How confident were you in the diagnosis and care instructions given by the provider using the device on your sick child?",,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_discomfort,caregiver_interview,,yesno,"Did you note any discomfort to your child during the use of the device? ",,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_discomfort_des,caregiver_interview,,notes,"If yes, please explain the discomfort you noted.",,,,,,,"[cg_interview_yn]=1 and [cg_discomfort]=1",y,LV,,,,
cg_recommend,caregiver_interview,,notes,"What recommendations do you have for the provider on using this device?",,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_change_desire,caregiver_interview,,notes,"How do you feel the use of the device will change your desire to visit this facility in the future?",,,,,,,[cg_interview_yn]=1,y,LV,,,,
cg_oth_comments,caregiver_interview,,notes,"Is there anything else you would like to share with us?",,,,,,,[cg_interview_yn]=1,,LV,,,,
